code,code_num,region
AFG,004,EMR
ALB,008,EUR
DZA,012,AFR
AND,020,EUR
AGO,024,AFR
ATG,028,AMR
ARG,032,AMR
ARM,051,EUR
AUS,036,WPR
AUT,040,EUR
AZE,031,EUR
BHS,044,AMR
BHR,048,EMR
BGD,050,SEAR
BRB,052,AMR
BLR,112,EUR
BEL,056,EUR
BLZ,084,AMR
BEN,204,AFR
BTN,064,SEAR
BOL,068,AMR
BIH,070,EUR
BWA,072,AFR
BRA,076,AMR
BRN,096,WPR
BGR,100,EUR
BFA,854,AFR
BDI,108,AFR
KHM,116,WPR
CMR,120,AFR
CAN,124,AMR
CPV,132,AFR
CAF,140,AFR
TCD,148,AFR
CHL,152,AMR
CHN,156,WPR
COL,170,AMR
COM,174,AFR
COG,178,AFR
COD,180,AFR
CRI,188,AMR
CIV,384,AFR
HRV,191,EUR
CUB,192,AMR
CYP,196,EUR
CZE,203,EUR
DNK,208,EUR
DJI,262,EMR
DMA,212,AMR
DOM,214,AMR
ECU,218,AMR
EGY,818,EMR
SLV,222,AMR
GNQ,226,AFR
ERI,232,AFR
EST,233,EUR
ETH,231,AFR
FJI,242,WPR
FIN,246,EUR
FRA,250,EUR
GAB,266,AFR
GMB,270,AFR
GEO,268,EUR
DEU,276,EUR
GHA,288,AFR
GRC,300,EUR
GRD,308,AMR
GTM,320,AMR
GIN,324,AFR
GNB,624,AFR
GUY,328,AMR
HTI,332,AMR
HND,340,AMR
HUN,348,EUR
ISL,352,EUR
IND,356,SEAR
IDN,360,SEAR
IRN,364,EMR
IRQ,368,EMR
IRL,372,EUR
ISR,376,EUR
ITA,380,EUR
JAM,388,AMR
JPN,392,WPR
JOR,400,EMR
KAZ,398,EUR
KEN,404,AFR
KIR,296,WPR
PRK,408,SEAR
KOR,410,WPR
KWT,414,EMR
KGZ,417,EUR
LAO,418,WPR
LVA,428,EUR
LBN,422,EMR
LSO,426,AFR
LBR,430,AFR
LBY,434,EMR
LTU,440,EUR
LUX,442,EUR
MKD,807,EUR
MDG,450,AFR
MWI,454,AFR
MYS,458,WPR
MDV,462,SEAR
MLI,466,AFR
MLT,470,EUR
MHL,584,WPR
MRT,478,AFR
MUS,480,AFR
MEX,484,AMR
FSM,583,WPR
MDA,498,EUR
MCO,492,EUR
MNG,496,WPR
MNE,499,EUR
MAR,504,EMR
MOZ,508,AFR
MMR,104,SEAR
NAM,516,AFR
NRU,520,WPR
NPL,524,SEAR
NLD,528,EUR
NZL,554,WPR
NIC,558,AMR
NER,562,AFR
NGA,566,AFR
NOR,578,EUR
OMN,512,EMR
PAK,586,EMR
PLW,585,WPR
PAN,591,AMR
PNG,598,WPR
PRY,600,AMR
PER,604,AMR
PHL,608,WPR
POL,616,EUR
PRT,620,EUR
QAT,634,EMR
ROU,642,EUR
RUS,643,EUR
RWA,646,AFR
KNA,659,AMR
LCA,662,AMR
VCT,670,AMR
WSM,882,WPR
SMR,674,EUR
STP,678,AFR
SAU,682,EMR
SEN,686,AFR
SRB,688,EUR
SYC,690,AFR
SLE,694,AFR
SGP,702,WPR
SVK,703,EUR
SVN,705,EUR
SLB,090,WPR
SOM,706,EMR
ZAF,710,AFR
SSD,728,AFR
ESP,724,EUR
LKA,144,SEAR
SDN,729,EMR
SUR,740,AMR
SWZ,748,AFR
SWE,752,EUR
CHE,756,EUR
SYR,760,EMR
TJK,762,EUR
TZA,834,AFR
THA,764,SEAR
TLS,626,SEAR
TGO,768,AFR
TON,776,WPR
TTO,780,AMR
TUN,788,EMR
TUR,792,EUR
TKM,795,EUR
TUV,798,WPR
UGA,800,AFR
UKR,804,EUR
ARE,784,EMR
GBR,826,EUR
USA,840,AMR
URY,858,AMR
UZB,860,EUR
VUT,548,WPR
VEN,862,AMR
VNM,704,WPR
YEM,887,EMR
ZMB,894,AFR
ZWE,716,AFR
